游戏名称,游戏链接,游戏折扣
Stellaris: Apocalypse,https://store.steampowered.com/app/716670/Stellaris_Apocalypse/?snr=1_7_7_2300_150_2,-50%
Monster Hunter World: Iceborne Digital Deluxe,https://store.steampowered.com/bundle/13009/Monster_Hunter_World_Iceborne_Digital_Deluxe/?snr=1_7_7_2300_150_2,-36%
Sniper Ghost Warrior Contracts,https://store.steampowered.com/app/973580/Sniper_Ghost_Warrior_Contracts/?snr=1_7_7_2300_150_2,-70%
Resident Evil 5 Gold Edition,https://store.steampowered.com/sub/62118/?snr=1_7_7_2300_150_2,-75%
Stellaris: Utopia,https://store.steampowered.com/app/553280/Stellaris_Utopia/?snr=1_7_7_2300_150_2,-50%
Blood Card 2: Dark Mist,https://store.steampowered.com/app/968760/Blood_Card_2_Dark_Mist/?snr=1_7_7_2300_150_2,-15%
BIOHAZARD 7 resident evil グロテスクVer.,https://store.steampowered.com/app/530940/BIOHAZARD_7_resident_evil_Ver/?snr=1_7_7_2300_150_2,-68%
The Long Story Short Bundle,https://store.steampowered.com/bundle/20248/The_Long_Story_Short_Bundle/?snr=1_7_7_2300_150_2,-57%
Dead Rising 4: Frank's Big Package,https://store.steampowered.com/bundle/5487/Dead_Rising_4_Franks_Big_Package/?snr=1_7_7_2300_150_2,-80%
The Sims™ 4 Deluxe + Seasons Bundle,https://store.steampowered.com/bundle/16525/The_Sims_4_Deluxe__Seasons_Bundle/?snr=1_7_7_2300_150_2,-81%
DmC: Devil May Cry,https://store.steampowered.com/app/220440/DmC_Devil_May_Cry/?snr=1_7_7_2300_150_2,-75%
Stellaris: Ascension Pack,https://store.steampowered.com/bundle/6186/Stellaris_Ascension_Pack/?snr=1_7_7_2300_150_2,-54%
Coffee Talk,https://store.steampowered.com/app/914800/Coffee_Talk/?snr=1_7_7_2300_150_2,-30%
The Sims™ 4 Seasons,https://store.steampowered.com/app/1235733/The_Sims_4_Seasons/?snr=1_7_7_2300_150_2,-50%
DEAD RISING®,https://store.steampowered.com/app/427190/DEAD_RISING/?snr=1_7_7_2300_150_2,-70%
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,https://store.steampowered.com/sub/281611/?snr=1_7_7_2300_150_2,-50%
Stellaris: MegaCorp,https://store.steampowered.com/app/944290/Stellaris_MegaCorp/?snr=1_7_7_2300_150_2,-50%
Dead Rising Triple Pack,https://store.steampowered.com/bundle/1399/Dead_Rising_Triple_Pack/?snr=1_7_7_2300_150_2,-75%
Resident Evil Revelations 2 / Biohazard Revelations 2 Deluxe Edition,https://store.steampowered.com/sub/84647/?snr=1_7_7_2300_150_2,-50%
Dead Cells,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_2300_150_2,-30%
ULTIMATE MARVEL VS. CAPCOM 3,https://store.steampowered.com/app/357190/ULTIMATE_MARVEL_VS_CAPCOM_3/?snr=1_7_7_2300_150_2,-70%
Zombie Army 4: Season Pass Two,https://store.steampowered.com/app/1405830/Zombie_Army_4_Season_Pass_Two/?snr=1_7_7_2300_150_2,-25%
Titanfall­™,https://store.steampowered.com/app/1454890/Titanfall/?snr=1_7_7_2300_150_2,-60%
Quantum League,https://store.steampowered.com/app/651150/Quantum_League/?snr=1_7_7_2300_150_2,-50%
"The Sims™ 4 Bundle - Get to Work, Dine Out, Cool Kitchen Stuff",https://store.steampowered.com/bundle/15529/The_Sims_4_Bundle__Get_to_Work_Dine_Out_Cool_Kitchen_Stuff/?snr=1_7_7_2300_150_2,-57%
DMC4SE Demon Hunter Bundle + DmC Complete Pack,https://store.steampowered.com/bundle/1188/DMC4SE_Demon_Hunter_Bundle__DmC_Complete_Pack/?snr=1_7_7_2300_150_2,-69%
Food Delivery Service,https://store.steampowered.com/app/1581080/Food_Delivery_Service/?snr=1_7_7_2300_150_2,-10%
Dead Cells: The Fatal Seed Bundle,https://store.steampowered.com/bundle/18623/Dead_Cells_The_Fatal_Seed_Bundle/?snr=1_7_7_2300_150_2,-33%
Curse of the Dead Gods,https://store.steampowered.com/app/1123770/Curse_of_the_Dead_Gods/?snr=1_7_7_2300_150_2,-20%
Stellaris: Necroids Species Pack,https://store.steampowered.com/app/1341520/Stellaris_Necroids_Species_Pack/?snr=1_7_7_2300_150_2,-20%
Onimusha: Warlords,https://store.steampowered.com/app/761600/Onimusha_Warlords/?snr=1_7_7_2300_150_2,-60%
DCS: Mi-24P HIND,https://store.steampowered.com/app/1593360/DCS_Mi24P_HIND/?snr=1_7_7_2300_150_2,-30%
The Sims™ 4 Get To Work,https://store.steampowered.com/app/1235734/The_Sims_4_Get_To_Work/?snr=1_7_7_2300_150_2,-50%
Ultra Street Fighter® IV,https://store.steampowered.com/app/45760/Ultra_Street_Fighter_IV/?snr=1_7_7_2300_150_2,-75%
Rain on Your Parade,https://store.steampowered.com/app/1213230/Rain_on_Your_Parade/?snr=1_7_7_2300_150_2,-10%
Stellaris: Synthetic Dawn Story Pack,https://store.steampowered.com/app/642750/Stellaris_Synthetic_Dawn_Story_Pack/?snr=1_7_7_2300_150_2,-50%
The Sims™ 4 Discover University,https://store.steampowered.com/app/1235722/The_Sims_4_Discover_University/?snr=1_7_7_2300_150_2,-50%
Crysis® 3,https://store.steampowered.com/app/1282690/Crysis_3/?snr=1_7_7_2300_150_2,-70%
The Sims™ 4,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_2300_150_2,-88%
The Sims™ 4 Island Living,https://store.steampowered.com/app/1235730/The_Sims_4_Island_Living/?snr=1_7_7_2300_150_2,-50%
Stellaris: Leviathans Story Pack,https://store.steampowered.com/app/518910/Stellaris_Leviathans_Story_Pack/?snr=1_7_7_2300_150_2,-50%
Stellaris: Ancient Relics Story Pack,https://store.steampowered.com/app/1045980/Stellaris_Ancient_Relics_Story_Pack/?snr=1_7_7_2300_150_2,-50%
The Sims™ 4 Get Together,https://store.steampowered.com/app/1235732/The_Sims_4_Get_Together/?snr=1_7_7_2300_150_2,-50%
The Red Strings Club,https://store.steampowered.com/app/589780/The_Red_Strings_Club/?snr=1_7_7_2300_150_2,-67%
Lumberjack's Dynasty,https://store.steampowered.com/app/968970/Lumberjacks_Dynasty/?snr=1_7_7_2300_150_2,-20%
Dead Rising® 2,https://store.steampowered.com/app/45740/Dead_Rising_2/?snr=1_7_7_2300_150_2,-70%
